task_name,problem_type,target_column,primary_metric,evaluation_strategy,model_name,mode,fit_seconds,best_params_json,roc_auc,roc_auc_std,f1,f1_std,balanced_accuracy,balanced_accuracy_std,pr_auc,pr_auc_std
classification_si_gt_8,classification,SI,pr_auc,holdout,random_forest,direct,22.336589041005936,"{""class_weight"": ""balanced"", ""max_depth"": 16, ""max_features"": 0.5, ""min_samples_leaf"": 5}",0.7558677863910422,0.0,0.5671641791044776,0.0,0.6708656330749354,0.0,0.6822651884243669,0.0
classification_si_gt_8,classification,SI,pr_auc,holdout,svc,direct,1.7294293329905486,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""auto""}",0.7271210163652024,0.0,0.5245901639344263,0.0,0.6524547803617571,0.0,0.6532513759384773,0.0
classification_si_gt_8,classification,SI,pr_auc,holdout,logistic_regression,direct,1.1007080840063281,"{""C"": 0.01, ""class_weight"": null}",0.6735034453057709,0.0,0.5037037037037037,0.0,0.6237080103359174,0.0,0.516753382179596,0.0
classification_si_gt_8,classification,SI,pr_auc,holdout,dummy,direct,2.0029270419909153,"{""strategy"": ""stratified""}",0.5486111111111112,0.0,0.34285714285714286,0.0,0.49612403100775193,0.0,0.3843479673703554,0.0
