feature,importance,abs_importance
fr_Imine,0.1947614517099306,0.1947614517099306
fr_allylic_oxid,-0.1858471389874613,0.1858471389874613
NumSaturatedHeterocycles,-0.15378041113492352,0.15378041113492352
MinPartialCharge,-0.12238743154090126,0.12238743154090126
SlogP_VSA3,-0.12176138511089482,0.12176138511089482
fr_nitro,-0.1127543801380705,0.1127543801380705
FractionCSP3,0.11185565007662997,0.11185565007662997
BCUT2D_LOGPHI,0.10699440149947628,0.10699440149947628
fr_C_S,-0.10631474451334856,0.10631474451334856
MaxAbsPartialCharge,0.10058323485252293,0.10058323485252293
fr_priamide,0.09842954880472202,0.09842954880472202
fr_NH1,0.09736628744052842,0.09736628744052842
fr_ArN,-0.09517424721607097,0.09517424721607097
fr_pyridine,0.08748248621557934,0.08748248621557934
fr_morpholine,0.08588847744928604,0.08588847744928604
PEOE_VSA3,0.08202749123300283,0.08202749123300283
PEOE_VSA9,-0.08184444231402857,0.08184444231402857
fr_imidazole,0.07951047767925866,0.07951047767925866
fr_methoxy,-0.0786744007998682,0.0786744007998682
BCUT2D_MWLOW,-0.0783982097177938,0.0783982097177938
