feature,importance,abs_importance
Kappa3,-0.6521546733822676,0.6521546733822676
fr_NH2,-0.6005047744707204,0.6005047744707204
Chi4v,-0.4400424984044576,0.4400424984044576
Chi3n,0.404889140095266,0.404889140095266
FpDensityMorgan3,-0.34976002807046247,0.34976002807046247
Chi3v,0.33375227276360137,0.33375227276360137
fr_Ar_OH,-0.3170645674768964,0.3170645674768964
VSA_EState2,0.31192190526690233,0.31192190526690233
VSA_EState8,-0.3059578089479544,0.3059578089479544
SMR_VSA9,0.30240150237970737,0.30240150237970737
BCUT2D_MWHI,-0.2977446866173226,0.2977446866173226
BCUT2D_LOGPHI,-0.29628822014191847,0.29628822014191847
Chi4n,-0.2890593293513513,0.2890593293513513
NumSaturatedRings,0.26890905174992114,0.26890905174992114
EState_VSA1,0.2674704789240365,0.2674704789240365
SMR_VSA3,-0.2665101383004992,0.2665101383004992
FpDensityMorgan2,0.2586180349356122,0.2586180349356122
BCUT2D_CHGLO,0.2572429127662946,0.2572429127662946
SlogP_VSA10,-0.25562585164442203,0.25562585164442203
fr_Ar_N,0.2548730158738789,0.2548730158738789
