feature,importance,abs_importance
fr_Ar_OH,-1.685047007058976,1.685047007058976
SlogP_VSA11,1.3240837065531086,1.3240837065531086
NHOHCount,-1.2208144188240821,1.2208144188240821
Kappa3,-1.2062247749927961,1.2062247749927961
MolLogP,-1.0604959385762505,1.0604959385762505
BCUT2D_LOGPHI,-0.9818392209845577,0.9818392209845577
SlogP_VSA1,-0.9506749980128989,0.9506749980128989
Chi2n,-0.8858362081119541,0.8858362081119541
NOCount,0.8399023233261337,0.8399023233261337
TPSA,0.8255629938819465,0.8255629938819465
FpDensityMorgan2,0.8212886506184974,0.8212886506184974
fr_Al_OH_noTert,-0.8123433536380582,0.8123433536380582
Chi3n,0.7890563499918279,0.7890563499918279
VSA_EState6,0.7326427415862935,0.7326427415862935
SPS,-0.7323486264642225,0.7323486264642225
EState_VSA1,0.7249520794754284,0.7249520794754284
FpDensityMorgan3,-0.7035109657206047,0.7035109657206047
Kappa1,-0.6972390647477318,0.6972390647477318
SMR_VSA3,-0.6875855138749959,0.6875855138749959
fr_Imine,-0.6797195020497352,0.6797195020497352
