feature,missing_count
MinAbsPartialCharge,3
BCUT2D_LOGPHI,3
BCUT2D_MWHI,3
MaxAbsPartialCharge,3
MinPartialCharge,3
MaxPartialCharge,3
BCUT2D_MWLOW,3
BCUT2D_CHGHI,3
BCUT2D_CHGLO,3
BCUT2D_LOGPLOW,3
BCUT2D_MRHI,3
BCUT2D_MRLOW,3
