feature,importance,abs_importance
fr_NH2,-0.5893302369951182,0.5893302369951182
fr_quatN,0.4118098064664854,0.4118098064664854
fr_urea,0.37465156825645446,0.37465156825645446
fr_sulfide,-0.3636878722902818,0.3636878722902818
EState_VSA3,0.35569970202089285,0.35569970202089285
fr_unbrch_alkane,0.3478341614227167,0.3478341614227167
Kappa3,-0.34511177312913494,0.34511177312913494
SPS,0.3407095728229099,0.3407095728229099
fr_alkyl_carbamate,-0.3270867830695486,0.3270867830695486
fr_Ar_OH,-0.31870030849875586,0.31870030849875586
fr_allylic_oxid,-0.31792642188901304,0.31792642188901304
BCUT2D_CHGLO,0.30757601455939537,0.30757601455939537
fr_piperzine,-0.3066360338483574,0.3066360338483574
FractionCSP3,0.30132374489114017,0.30132374489114017
fr_methoxy,0.2904876656636159,0.2904876656636159
fr_tetrazole,0.2889975604646553,0.2889975604646553
NHOHCount,-0.28810251982498225,0.28810251982498225
BalabanJ,0.2850960786671145,0.2850960786671145
VSA_EState9,-0.284148879735127,0.284148879735127
fr_priamide,-0.2793407209104836,0.2793407209104836
