feature,importance,abs_importance
fr_Imine,0.2688772723007254,0.2688772723007254
fr_allylic_oxid,-0.21663118197900696,0.21663118197900696
fr_NH1,0.1549201697910306,0.1549201697910306
fr_Al_OH_noTert,0.15252254088697967,0.15252254088697967
NumSaturatedHeterocycles,-0.14909471453429504,0.14909471453429504
Kappa3,0.14720667395679307,0.14720667395679307
EState_VSA2,0.14487627194550823,0.14487627194550823
BCUT2D_LOGPHI,0.13769052142438726,0.13769052142438726
PEOE_VSA2,-0.13589847853568265,0.13589847853568265
fr_C_S,-0.12663225685822363,0.12663225685822363
fr_morpholine,0.12619905619837818,0.12619905619837818
VSA_EState6,-0.12164735269930668,0.12164735269930668
MaxAbsPartialCharge,0.12101710827371266,0.12101710827371266
EState_VSA1,-0.11648941375629886,0.11648941375629886
fr_Ndealkylation2,-0.11402472103354883,0.11402472103354883
fr_imidazole,0.11165667868781581,0.11165667868781581
BCUT2D_MWLOW,-0.1111711201518747,0.1111711201518747
fr_sulfonamd,0.10748947884756635,0.10748947884756635
PEOE_VSA3,0.10352922432213554,0.10352922432213554
FractionCSP3,0.10293882670018138,0.10293882670018138
