feature,importance,abs_importance
BCUT2D_MRLOW,0.03176692911291003,0.03176692911291003
VSA_EState8,0.030952444494228674,0.030952444494228674
VSA_EState4,0.01927728041879806,0.01927728041879806
NHOHCount,0.01658827379642116,0.01658827379642116
SlogP_VSA5,0.016208204963092866,0.016208204963092866
EState_VSA8,0.015741703717806272,0.015741703717806272
FpDensityMorgan3,0.015002344692540462,0.015002344692540462
NumHDonors,0.013919869207392457,0.013919869207392457
PEOE_VSA6,0.013597010877576882,0.013597010877576882
SMR_VSA5,0.01358355883674123,0.01358355883674123
EState_VSA5,0.013301932420923618,0.013301932420923618
BCUT2D_MWLOW,0.013035770805060824,0.013035770805060824
BCUT2D_LOGPHI,0.012570750459219881,0.012570750459219881
VSA_EState5,0.01250078605344381,0.01250078605344381
SPS,0.012486560981851035,0.012486560981851035
BCUT2D_LOGPLOW,0.012461153100000866,0.012461153100000866
Chi2v,0.011792176946908216,0.011792176946908216
EState_VSA4,0.011565000242637877,0.011565000242637877
VSA_EState6,0.011553898261721606,0.011553898261721606
PEOE_VSA7,0.011451694169858839,0.011451694169858839
