feature,importance,abs_importance
fr_priamide,-0.5523834514412445,0.5523834514412445
Kappa3,-0.41955959670502563,0.41955959670502563
BCUT2D_LOGPHI,-0.4076508195544971,0.4076508195544971
NumSaturatedRings,0.35782414366761145,0.35782414366761145
EState_VSA1,0.3414412713092455,0.3414412713092455
fr_Imine,-0.32883279807161875,0.32883279807161875
BCUT2D_MRLOW,-0.3005848553705944,0.3005848553705944
BCUT2D_CHGLO,0.28989918632447925,0.28989918632447925
EState_VSA5,-0.2896665513977691,0.2896665513977691
NumSaturatedHeterocycles,0.2834004550437083,0.2834004550437083
fr_NH1,-0.28240543594254847,0.28240543594254847
SlogP_VSA6,0.2706374356886089,0.2706374356886089
BCUT2D_MWLOW,0.26767061641779055,0.26767061641779055
EState_VSA4,-0.267586750660186,0.267586750660186
VSA_EState8,-0.2598985356575291,0.2598985356575291
Ipc,0.2590683747902669,0.2590683747902669
SMR_VSA10,-0.2531481216640715,0.2531481216640715
fr_epoxide,-0.24771312850517363,0.24771312850517363
fr_NH2,-0.24187903253408702,0.24187903253408702
PEOE_VSA6,-0.23521204806180293,0.23521204806180293
